Run ID,Symbol Set,Portfolio Balance,Total Return %,Annualized Return %,Max Drawdown,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Profit Factor,Win Rate %,Avg Win ($),Avg Loss ($),EMA Period,ATR Stop Multiplier,Risk Bull,MACD Fast Period,MACD Slow Period,MACD Signal Period,ATR Period,Allocation Defense
103,QQQ-TQQQ,2728109.60,271.811,0.434,-0.127,4.06,1.76,3.41,342,0.0,0.284,7290.04,-1002727.66,75,2.5,0.05,12,26,9,14,0.6
104,QQQ-TQQQ,2749494.48,273.949,0.434,-0.116,4.17,1.82,3.75,342,0.0,0.284,6235.26,-1027064.5,75,2.5,0.05,12,26,9,14,0.5
105,QQQ-TQQQ,2701633.20,269.163,0.433,-0.138,3.93,1.69,3.13,342,0.0,0.284,8272.5,-977690.33,75,2.5,0.05,12,26,9,14,0.7
106,QQQ-TQQQ,4409782.05,439.978,0.478,-0.136,4.02,1.67,3.52,336,0.0,0.289,10443.35,-1613221.54,75,2.5,0.06,12,26,9,14,0.6
107,QQQ-TQQQ,4447446.64,443.745,0.479,-0.126,4.11,1.71,3.81,336,0.0,0.289,8935.83,-1654178.19,75,2.5,0.06,12,26,9,14,0.5
108,QQQ-TQQQ,4368848.92,435.885,0.478,-0.147,3.92,1.63,3.25,336,0.0,0.289,11859.23,-1572760.73,75,2.5,0.06,12,26,9,14,0.7
109,QQQ-TQQQ,-1335613.60,-134.561,,-1.0,,0.26,,19,0.0,0.368,116.89,-341078.6,200,2.0,0.04,12,26,9,14,0.6
110,QQQ-TQQQ,-1330128.09,-134.013,,-1.0,,0.26,,19,0.0,0.368,96.58,-338528.53,200,2.0,0.04,12,26,9,14,0.5
111,QQQ-TQQQ,-1340516.19,-135.052,,-1.0,,0.26,,19,0.0,0.368,136.93,-343595.78,200,2.0,0.04,12,26,9,14,0.7
112,QQQ-TQQQ,-1411713.85,-142.171,,-1.0,,0.26,,19,0.0,0.368,120.81,-442400.74,200,2.0,0.05,12,26,9,14,0.6
113,QQQ-TQQQ,-1406344.96,-141.634,,-1.0,,0.26,,19,0.0,0.368,99.99,-439116.51,200,2.0,0.05,12,26,9,14,0.5
114,QQQ-TQQQ,-1417199.96,-142.720,,-1.0,,0.26,,19,0.0,0.368,141.69,-445698.68,200,2.0,0.05,12,26,9,14,0.7
115,QQQ-TQQQ,-1461787.07,-147.179,,-1.0,,0.27,,18,0.0,0.389,123.67,-502327.29,200,2.0,0.06,12,26,9,14,0.6
116,QQQ-TQQQ,-1456184.40,-146.618,,-1.0,,0.27,,18,0.0,0.389,102.34,-498436.83,200,2.0,0.06,12,26,9,14,0.5
117,QQQ-TQQQ,-1467155.33,-147.716,,-1.0,,0.27,,18,0.0,0.389,144.87,-506167.44,200,2.0,0.06,12,26,9,14,0.7
118,QQQ-TQQQ,451575.57,44.158,0.277,-0.153,3.07,1.32,1.81,298,0.0,0.342,1711.34,-256353.33,200,3.0,0.04,12,26,9,14,0.6
119,QQQ-TQQQ,430468.55,42.047,0.273,-0.148,3.21,1.39,1.85,298,0.0,0.342,1396.08,-253113.88,200,3.0,0.04,12,26,9,14,0.5
120,QQQ-TQQQ,472590.08,46.259,0.281,-0.159,2.93,1.25,1.77,298,0.0,0.342,2035.63,-259426.83,200,3.0,0.04,12,26,9,14,0.7
121,QQQ-TQQQ,-1286474.61,-129.647,,-1.0,,0.26,,19,0.0,0.368,114.24,-277290.7,200,3.0,0.05,12,26,9,14,0.6
122,QQQ-TQQQ,-1281572.30,-129.157,,-1.0,,0.26,,19,0.0,0.368,94.5,-275234.9,200,3.0,0.05,12,26,9,14,0.5
123,QQQ-TQQQ,-1291260.07,-130.126,,-1.0,,0.26,,19,0.0,0.368,133.95,-279328.32,200,3.0,0.05,12,26,9,14,0.7
124,QQQ-TQQQ,-1335613.60,-134.561,,-1.0,,0.26,,19,0.0,0.368,116.89,-341078.6,200,3.0,0.06,12,26,9,14,0.6
125,QQQ-TQQQ,-1330128.09,-134.013,,-1.0,,0.26,,19,0.0,0.368,96.58,-338528.53,200,3.0,0.06,12,26,9,14,0.5
126,QQQ-TQQQ,-1340516.19,-135.052,,-1.0,,0.26,,19,0.0,0.368,136.93,-343595.78,200,3.0,0.06,12,26,9,14,0.7
127,QQQ-TQQQ,-1538237.81,-154.824,,-1.0,,0.27,,15,0.0,0.467,129.59,-542660.64,200,1.0,0.04,12,26,9,14,0.6
128,QQQ-TQQQ,-1532402.17,-154.240,,-1.0,,0.27,,15,0.0,0.467,107.45,-539661.7,200,1.0,0.04,12,26,9,14,0.5
129,QQQ-TQQQ,-1543840.16,-155.384,,-1.0,,0.27,,15,0.0,0.467,152.0,-545667.36,200,1.0,0.04,12,26,9,14,0.7
130,QQQ-TQQQ,-1060623.82,-107.062,,-1.0,,0.25,,10,1.37,0.7,101.66,-173.71,200,1.0,0.05,12,26,9,14,0.6
131,QQQ-TQQQ,-1057005.14,-106.701,,-1.0,,0.25,,10,1.39,0.7,84.49,-142.18,200,1.0,0.05,12,26,9,14,0.5
132,QQQ-TQQQ,-1065176.48,-107.518,,-1.0,,0.25,,10,1.37,0.7,119.46,-203.81,200,1.0,0.05,12,26,9,14,0.7
133,QQQ-TQQQ,-1060623.82,-107.062,,-1.0,,0.25,,10,1.37,0.7,101.66,-173.71,200,1.0,0.06,12,26,9,14,0.6
134,QQQ-TQQQ,-1057005.14,-106.701,,-1.0,,0.25,,10,1.39,0.7,84.49,-142.18,200,1.0,0.06,12,26,9,14,0.5
135,QQQ-TQQQ,-1065176.48,-107.518,,-1.0,,0.25,,10,1.37,0.7,119.46,-203.81,200,1.0,0.06,12,26,9,14,0.7
136,QQQ-TQQQ,-1276787.67,-128.679,,-1.0,,0.26,,19,0.0,0.368,113.62,-264863.56,200,2.5,0.04,12,26,9,14,0.6
137,QQQ-TQQQ,-1271534.95,-128.153,,-1.0,,0.26,,19,0.0,0.368,93.93,-262897.21,200,2.5,0.04,12,26,9,14,0.5
138,QQQ-TQQQ,-1281455.62,-129.146,,-1.0,,0.26,,19,0.0,0.368,133.32,-266803.03,200,2.5,0.04,12,26,9,14,0.7
139,QQQ-TQQQ,-1335613.60,-134.561,,-1.0,,0.26,,19,0.0,0.368,116.89,-341078.6,200,2.5,0.05,12,26,9,14,0.6
140,QQQ-TQQQ,-1330128.09,-134.013,,-1.0,,0.26,,19,0.0,0.368,96.58,-338528.53,200,2.5,0.05,12,26,9,14,0.5
141,QQQ-TQQQ,-1340516.19,-135.052,,-1.0,,0.26,,19,0.0,0.368,136.93,-343595.78,200,2.5,0.05,12,26,9,14,0.7
142,QQQ-TQQQ,-1396540.79,-140.654,,-1.0,,0.26,,19,0.0,0.368,120.14,-421609.97,200,2.5,0.06,12,26,9,14,0.6
143,QQQ-TQQQ,-1391055.49,-140.106,,-1.0,,0.26,,19,0.0,0.368,99.61,-418500.55,200,2.5,0.06,12,26,9,14,0.5
144,QQQ-TQQQ,-1401792.95,-141.179,,-1.0,,0.26,,19,0.0,0.368,140.89,-424748.14,200,2.5,0.06,12,26,9,14,0.7
145,QQQ-TQQQ,-1259046.13,-126.905,,-1.0,,0.26,,17,0.0,0.412,86.47,-340709.41,250,2.0,0.04,12,26,9,14,0.6
146,QQQ-TQQQ,-1255077.50,-126.508,,-1.0,,0.26,,17,0.0,0.412,71.62,-338764.23,250,2.0,0.04,12,26,9,14,0.5
147,QQQ-TQQQ,-1263248.06,-127.325,,-1.0,,0.26,,17,0.0,0.412,101.25,-342637.02,250,2.0,0.04,12,26,9,14,0.7
148,QQQ-TQQQ,-1313553.65,-132.355,,-1.0,,0.26,,17,0.0,0.412,88.61,-438007.36,250,2.0,0.05,12,26,9,14,0.6
149,QQQ-TQQQ,-1309234.61,-131.923,,-1.0,,0.26,,17,0.0,0.412,73.54,-435540.55,250,2.0,0.05,12,26,9,14,0.5
150,QQQ-TQQQ,-1317638.65,-132.764,,-1.0,,0.26,,17,0.0,0.412,103.83,-440513.59,250,2.0,0.05,12,26,9,14,0.7
151,QQQ-TQQQ,-1342383.35,-135.238,,-1.0,,0.26,,16,0.0,0.438,89.68,-491216.12,250,2.0,0.06,12,26,9,14,0.6
152,QQQ-TQQQ,-1338065.15,-134.807,,-1.0,,0.26,,16,0.0,0.438,74.29,-488186.48,250,2.0,0.06,12,26,9,14,0.5
153,QQQ-TQQQ,-1346351.41,-135.635,,-1.0,,0.26,,16,0.0,0.438,105.1,-494234.13,250,2.0,0.06,12,26,9,14,0.7
154,QQQ-TQQQ,425143.50,41.514,0.272,-0.144,3.02,1.3,1.89,294,0.0,0.344,1555.68,-242290.5,250,3.0,0.04,12,26,9,14,0.6
155,QQQ-TQQQ,403715.78,39.372,0.268,-0.14,3.15,1.37,1.92,294,0.0,0.344,1262.9,-238436.6,250,3.0,0.04,12,26,9,14,0.5
156,QQQ-TQQQ,447162.26,43.716,0.276,-0.15,2.88,1.23,1.85,294,0.0,0.344,1861.25,-246079.88,250,3.0,0.04,12,26,9,14,0.7
157,QQQ-TQQQ,-1223446.42,-123.345,,-1.0,,0.26,,17,0.0,0.412,84.75,-278568.29,250,3.0,0.05,12,26,9,14,0.6
