Run ID,Symbol Set,Portfolio Balance,Total Return %,Annualized Return %,Max Drawdown,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Profit Factor,Win Rate %,Avg Win ($),Avg Loss ($),EMA Period,ATR Stop Multiplier,Risk Bull,MACD Fast Period,MACD Slow Period,MACD Signal Period,ATR Period,Allocation Defense
125,QQQ-TQQQ,-14179.74,-2.418,,-1.0,,-0.06,,19,0.0,0.368,96.58,-338528.53,200,3.0,0.06,12,26,9,14,0.5
126,QQQ-TQQQ,-14290.61,-2.429,,-1.0,,-0.06,,19,0.0,0.368,136.93,-343595.78,200,3.0,0.06,12,26,9,14,0.7
127,QQQ-TQQQ,-16398.28,-2.640,,-1.0,,-0.05,,15,0.0,0.467,129.59,-542660.64,200,1.0,0.04,12,26,9,14,0.6
128,QQQ-TQQQ,-16336.37,-2.634,,-1.0,,-0.05,,15,0.0,0.467,107.45,-539661.7,200,1.0,0.04,12,26,9,14,0.5
129,QQQ-TQQQ,-16457.85,-2.646,,-1.0,,-0.05,,15,0.0,0.467,152.0,-545667.36,200,1.0,0.04,12,26,9,14,0.7
130,QQQ-TQQQ,-11306.28,-2.131,,-1.0,,-0.08,,10,1.37,0.7,101.66,-173.71,200,1.0,0.05,12,26,9,14,0.6
131,QQQ-TQQQ,-11267.31,-2.127,,-1.0,,-0.08,,10,1.39,0.7,84.49,-142.18,200,1.0,0.05,12,26,9,14,0.5
132,QQQ-TQQQ,-11355.44,-2.136,,-1.0,,-0.08,,10,1.37,0.7,119.46,-203.81,200,1.0,0.05,12,26,9,14,0.7
133,QQQ-TQQQ,-11306.28,-2.131,,-1.0,,-0.08,,10,1.37,0.7,101.66,-173.71,200,1.0,0.06,12,26,9,14,0.6
134,QQQ-TQQQ,-11267.31,-2.127,,-1.0,,-0.08,,10,1.39,0.7,84.49,-142.18,200,1.0,0.06,12,26,9,14,0.5
135,QQQ-TQQQ,-11355.44,-2.136,,-1.0,,-0.08,,10,1.37,0.7,119.46,-203.81,200,1.0,0.06,12,26,9,14,0.7
136,QQQ-TQQQ,-13611.20,-2.361,,-1.0,,-0.07,,19,0.0,0.368,113.62,-264863.56,200,2.5,0.04,12,26,9,14,0.6
137,QQQ-TQQQ,-13554.84,-2.355,,-1.0,,-0.07,,19,0.0,0.368,93.93,-262897.21,200,2.5,0.04,12,26,9,14,0.5
138,QQQ-TQQQ,-13660.17,-2.366,,-1.0,,-0.07,,19,0.0,0.368,133.32,-266803.03,200,2.5,0.04,12,26,9,14,0.7
139,QQQ-TQQQ,-14237.95,-2.424,,-1.0,,-0.06,,19,0.0,0.368,116.89,-341078.6,200,2.5,0.05,12,26,9,14,0.6
140,QQQ-TQQQ,-14179.74,-2.418,,-1.0,,-0.06,,19,0.0,0.368,96.58,-338528.53,200,2.5,0.05,12,26,9,14,0.5
141,QQQ-TQQQ,-14290.61,-2.429,,-1.0,,-0.06,,19,0.0,0.368,136.93,-343595.78,200,2.5,0.05,12,26,9,14,0.7
142,QQQ-TQQQ,-14887.40,-2.489,,-1.0,,-0.06,,19,0.0,0.368,120.14,-421609.97,200,2.5,0.06,12,26,9,14,0.6
