Trade_ID,Date,Bar_Number,Strategy_State,Ticker,Decision,Decision_Reason,Indicator_EMA_100,Indicator_MACD_Line,Indicator_Price,Indicator_Signal_Line,Indicator_VIX,Threshold_ATR_Stop_Multiplier,Threshold_EMA_Period,Threshold_Risk_Per_Trade,Threshold_VIX_Kill_Switch,Order_Type,Shares,Fill_Price,Position_Value,Slippage,Commission,Portfolio_Value_Before,Portfolio_Value_After,Cash_Before,Cash_After,Allocation_Before,Allocation_After,Cumulative_Return_Pct
34,2021-09-26 22:00:00,2755,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(370.35) > EMA(360.66), MACD(-0.1372) <= 0, VIX(18.76) <= 30.0",360.65525701408876,-0.13720166631748043,370.35,1.0126028158790883,18.76,2.0,100.0,0.025,30.0,MARKET,903,70.824105,63954.166815,0.0,0.0,181406.336325,181342.31814,117388.151325,181342.31814,"CASH: 64.7%, TQQQ: 35.3%",CASH: 100.0%,81.34231814
35,2021-10-19 22:00:00,2823,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(374.98) > EMA(360.30), MACD(0.5445) > 0, VIX(15.49) <= 30.0",360.2988582735615,0.5445416972241901,374.98,-1.5957234993914964,15.49,2.0,100.0,0.025,30.0,MARKET,894,71.496425,63917.80395,0.0,0.0,181342.31814,181278.46419,181342.31814,117424.51419,CASH: 100.0%,"CASH: 64.8%, TQQQ: 35.2%",81.27846419
36,2021-11-30 22:00:00,2939,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(387.12) > EMA(377.04), MACD(3.4071) > 0, VIX(31.12) > 30.0",377.04396034135465,3.407109837051337,387.12,5.202154873026468,31.12,2.0,100.0,0.025,30.0,MARKET,894,81.663255,73006.94997,0.0,0.0,190504.54419,190431.46416,117424.51419,190431.46416,"CASH: 61.6%, TQQQ: 38.4%",CASH: 100.0%,90.43146416
37,2021-12-01 22:00:00,2943,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(389.91) > EMA(377.44), MACD(2.7690) > 0, VIX(27.95) <= 30.0",377.44055104564006,2.7689755405154983,389.91,4.715176599297822,27.95,2.0,100.0,0.025,30.0,MARKET,463,77.62755,35941.55565,0.0,0.0,190431.46416,190395.55851,190431.46416,154489.90851,CASH: 100.0%,"CASH: 81.1%, TQQQ: 18.9%",90.39555851
38,2021-12-02 22:00:00,2947,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(383.13) > EMA(377.49), MACD(1.6969) > 0, VIX(30.67) > 30.0",377.49116818291174,1.6969487517135917,383.13,4.11168083294248,30.67,2.0,100.0,0.025,30.0,MARKET,463,78.93099,36545.04837,0.0,0.0,191071.53851,191034.95688,154489.90851,191034.95688,"CASH: 80.9%, TQQQ: 19.1%",CASH: 100.0%,91.03495688
39,2021-12-05 22:00:00,2951,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(386.20) > EMA(377.68), MACD(1.0825) > 0, VIX(27.18) <= 30.0",377.67913160266676,1.0824743131965988,386.2,3.5058020782029113,27.18,2.0,100.0,0.025,30.0,MARKET,450,75.11504,33801.768,0.0,0.0,191034.95688,191001.18888,191034.95688,157233.18888,CASH: 100.0%,"CASH: 82.3%, TQQQ: 17.7%",91.00118888
40,2021-12-19 22:00:00,2991,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(380.69) > EMA(380.42), MACD(-0.7704) <= 0, VIX(22.87) <= 30.0",380.4244257407037,-0.7703747419242291,380.69,0.9851357951747748,22.87,2.0,100.0,0.025,30.0,MARKET,450,75.3246,33896.07,0.0,0.0,191163.18888,191129.25888,157233.18888,191129.25888,"CASH: 82.3%, TQQQ: 17.7%",CASH: 100.0%,91.12925888
41,2021-12-22 22:00:00,3003,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(396.92) > EMA(381.62), MACD(0.1892) > 0, VIX(17.96) <= 30.0",381.623188844595,0.18924452364012723,396.92,0.386276428740298,17.96,2.0,100.0,0.025,30.0,MARKET,478,80.90082,38670.59196,0.0,0.0,191129.25888,191090.62692,191129.25888,152458.66692,CASH: 100.0%,"CASH: 79.8%, TQQQ: 20.2%",91.09062692

Summary Statistics:
Initial Capital,$100,000.00
Final Value,$192,211.54
Total Return,92.21%
Annualized Return,24.38%
Sharpe Ratio,4.22
Max Drawdown,-10.39%
Total Trades,20
Win Rate,0.00%
