# Backtest Dashboard Export
# strategy_name: Hierarchical_Adaptive_v3_5b
# start_date: 2010-01-01
# end_date: 2026-01-20
# initial_capital: 10000.00
# total_return: 8102.29
# annualized_return: 31.61
# sharpe_ratio: 1.14
# max_drawdown: -29.26
# alpha: 6.60
# baseline_ticker: QQQ
Date,Portfolio_Value,Baseline_Value,BuyHold_Value,Regime,Trend,Vol
2024-01-18,536282.96,88968.12,88968.12,1,BullStrong,Low
2024-01-19,559123.55,90732.44,90732.44,1,BullStrong,Low
2024-01-22,559409.55,90850.93,90850.93,1,BullStrong,Low
2024-01-23,565744.43,91227.92,91227.92,1,BullStrong,Low
2024-01-24,572640.74,91734.17,91734.17,1,BullStrong,Low
2024-01-25,573908.82,91846.19,91846.19,1,BullStrong,Low
2024-01-26,566103.10,91299.01,91299.01,1,BullStrong,Low
2024-01-29,568359.90,92233.95,92233.95,1,BullStrong,Low
2024-01-30,569933.29,91619.99,91619.99,1,BullStrong,Low
2024-01-31,545086.90,89825.51,89825.51,1,BullStrong,Low
2024-02-01,559238.13,90883.24,90883.24,1,BullStrong,Low
2024-02-02,580031.00,92419.22,92419.22,1,BullStrong,Low
2024-02-05,579739.80,92298.58,92298.58,1,BullStrong,Low
2024-02-06,575426.59,92113.31,92113.31,1,BullStrong,Low
2024-02-07,588252.58,93061.18,93061.18,1,BullStrong,Low
2024-02-08,590165.10,93233.52,93233.52,1,BullStrong,Low
2024-02-09,603105.36,94151.23,94151.23,1,BullStrong,Low
2024-02-12,602216.16,93782.85,93782.85,1,BullStrong,Low
2024-02-13,576674.05,92320.12,92320.12,1,BullStrong,Low
2024-02-14,590326.35,93326.15,93326.15,1,BullStrong,Low
2024-02-15,594052.54,93604.05,93604.05,1,BullStrong,Low
2024-02-16,581902.23,92755.28,92755.28,1,BullStrong,Low
2024-02-20,571359.39,92055.15,92055.15,3,Sideways,Low
2024-02-21,568106.55,91686.77,91686.77,3,Sideways,Low
2024-02-22,591176.34,94370.96,94370.96,3,Sideways,Low
2024-02-23,588677.80,94093.06,94093.06,3,Sideways,Low
