Run ID,Symbol Set,Portfolio Balance,Total Return %,Annualized Return %,Max Drawdown,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Profit Factor,Win Rate %,Avg Win ($),Avg Loss ($),Risk Bull,MACD Fast Period,MACD Slow Period,MACD Signal Period,ATR Period,Allocation Defense,Vix Ema Period,Ema Period Calm,Atr Stop Calm,Ema Period Choppy,Atr Stop Choppy
393,QQQ_TQQQ_VIX,5450486.18,544.049,0.499,-0.138,4.07,1.69,3.61,332,0.0,0.289,11777.88,-1891350.23,0.025,12,26,9,14,0.6,50,75,1.0,75,2.5
394,QQQ_TQQQ_VIX,792576.77,78.258,0.324,-0.116,3.51,1.51,2.79,340,0.0,0.282,2537.77,-334909.49,0.015,12,26,9,14,0.6,50,75,1.0,75,1.0
395,QQQ_TQQQ_VIX,2834027.89,282.403,0.437,-0.127,4.07,1.76,3.44,338,0.0,0.281,7250.88,-1011037.04,0.02,12,26,9,14,0.6,50,75,1.0,75,1.0
396,QQQ_TQQQ_VIX,5450486.18,544.049,0.499,-0.138,4.07,1.69,3.61,332,0.0,0.289,11777.88,-1891350.23,0.025,12,26,9,14,0.6,50,75,1.0,75,1.0
397,QQQ_TQQQ_VIX,792576.77,78.258,0.324,-0.116,3.51,1.51,2.79,340,0.0,0.282,2537.77,-334909.49,0.015,12,26,9,14,0.6,50,75,1.0,100,2.0
398,QQQ_TQQQ_VIX,2834027.89,282.403,0.437,-0.127,4.07,1.76,3.44,338,0.0,0.281,7250.88,-1011037.04,0.02,12,26,9,14,0.6,50,75,1.0,100,2.0
399,QQQ_TQQQ_VIX,5450486.18,544.049,0.499,-0.138,4.07,1.69,3.61,332,0.0,0.289,11777.88,-1891350.23,0.025,12,26,9,14,0.6,50,75,1.0,100,2.0
400,QQQ_TQQQ_VIX,792576.77,78.258,0.324,-0.116,3.51,1.51,2.79,340,0.0,0.282,2537.77,-334909.49,0.015,12,26,9,14,0.6,50,75,1.0,100,2.5
401,QQQ_TQQQ_VIX,2834027.89,282.403,0.437,-0.127,4.07,1.76,3.44,338,0.0,0.281,7250.88,-1011037.04,0.02,12,26,9,14,0.6,50,75,1.0,100,2.5
402,QQQ_TQQQ_VIX,5450486.18,544.049,0.499,-0.138,4.07,1.69,3.61,332,0.0,0.289,11777.88,-1891350.23,0.025,12,26,9,14,0.6,50,75,1.0,100,2.5
403,QQQ_TQQQ_VIX,792576.77,78.258,0.324,-0.116,3.51,1.51,2.79,340,0.0,0.282,2537.77,-334909.49,0.015,12,26,9,14,0.6,50,75,1.0,100,1.0
404,QQQ_TQQQ_VIX,2834027.89,282.403,0.437,-0.127,4.07,1.76,3.44,338,0.0,0.281,7250.88,-1011037.04,0.02,12,26,9,14,0.6,50,75,1.0,100,1.0
405,QQQ_TQQQ_VIX,5450486.18,544.049,0.499,-0.138,4.07,1.69,3.61,332,0.0,0.289,11777.88,-1891350.23,0.025,12,26,9,14,0.6,50,75,1.0,100,1.0
406,QQQ_TQQQ_VIX,53748.05,4.375,0.114,-0.106,1.78,0.83,1.08,331,0.0,0.305,322.74,-42878.85,0.015,12,26,9,14,0.6,50,100,2.5,50,2.0
407,QQQ_TQQQ_VIX,94468.95,8.447,0.155,-0.107,2.3,1.06,1.44,331,0.0,0.305,483.13,-69811.28,0.02,12,26,9,14,0.6,50,100,2.5,50,2.0
