Date,Portfolio_Total_Value,Portfolio_Day_Change_Pct,Portfolio_Overall_Return,Portfolio_PL_Percent,Cash,BuyHold_QQQ_Value,TQQQ_Qty,TQQQ_Value
2021-06-29,-11037.20,1.1298,-210.3720,-210.3720,36.40,19054.35,-180,-11073.60
2021-06-30,-10988.60,-0.4403,-209.8860,-209.8860,36.40,19061.88,-180,-11025.00
2021-07-01,-10994.00,0.0491,-209.9400,-209.9400,36.40,19280.68,-180,-11030.40
2021-07-05,-11368.40,3.4055,-213.6840,-213.6840,36.40,19364.01,-180,-11404.80
2021-07-06,-11521.40,1.3458,-215.2140,-215.2140,36.40,19404.87,-180,-11557.80
2021-07-07,-11595.20,0.6405,-215.9520,-215.9520,36.40,19287.67,-180,-11631.60
2021-07-08,-11393.60,-1.7386,-213.9360,-213.9360,36.40,19408.10,-180,-11430.00
2021-07-11,-11587.10,1.6983,-215.8710,-215.8710,36.40,19483.90,-180,-11623.50
2021-07-12,-11732.90,1.2583,-217.3290,-217.3290,36.40,19483.90,-180,-11769.30
2021-07-13,-11726.60,-0.0537,-217.2660,-217.2660,36.40,19518.84,-180,-11763.00
2021-07-14,-11790.50,0.5449,-217.9050,-217.9050,36.40,19381.75,-180,-11826.90
2021-07-15,-11545.70,-2.0762,-215.4570,-215.4570,36.40,19224.77,-180,-11582.10
2021-07-18,-11261.30,-2.4633,-212.6130,-212.6130,36.40,19067.25,-180,-11297.70
2021-07-19,-10990.40,-2.4056,-209.9040,-209.9040,36.40,19288.75,-180,-11026.80
2021-07-20,-11354.00,3.3083,-213.5400,-213.5400,36.40,19437.66,-180,-11390.40
2021-07-21,-11614.10,2.2908,-216.1410,-216.1410,36.40,19566.15,-180,-11650.50
2021-07-22,-11858.90,2.1078,-218.5890,-218.5890,36.40,19794.63,-180,-11895.30
2021-07-25,-12254.00,3.3317,-222.5400,-222.5400,36.40,19810.23,-180,-12290.40
2021-07-26,-12305.30,0.4186,-223.0530,-223.0530,36.40,19591.96,-180,-12341.70
2021-07-27,-11902.10,-3.2766,-219.0210,-219.0210,36.40,19667.22,-180,-11938.50
2021-07-28,-12032.60,1.0964,-220.3260,-220.3260,36.40,19702.17,-180,-12069.00
2021-07-29,-12092.00,0.4937,-220.9200,-220.9200,36.40,19599.48,-180,-12128.40
2021-08-01,-11910.20,-1.5035,-219.1020,-219.1020,36.40,19601.10,-180,-11946.60
2021-08-02,-11906.60,-0.0302,-219.0660,-219.0660,36.40,19719.91,-180,-11943.00
2021-08-03,-12114.50,1.7461,-221.1450,-221.1450,36.40,19748.40,-180,-12150.90
2021-08-04,-12174.80,0.4978,-221.7480,-221.7480,36.40,19873.66,-180,-12211.20
2021-08-05,-12404.30,1.8850,-224.0430,-224.0430,36.40,19786.57,-180,-12440.70
2021-08-08,-12242.30,-1.3060,-222.4230,-222.4230,36.40,19823.13,-180,-12278.70
2021-08-09,-12308.00,0.5367,-223.0800,-223.0800,36.40,19721.52,-180,-12344.40
2021-08-10,-12123.50,-1.4990,-221.2350,-221.2350,36.40,19687.65,-180,-12159.90
2021-08-11,-12057.80,-0.5419,-220.5780,-220.5780,36.40,19758.62,-180,-12094.20
2021-08-12,-12183.80,1.0450,-221.8380,-221.8380,36.40,19827.97,-180,-12220.20
2021-08-15,-12306.20,1.0046,-223.0620,-223.0620,36.40,19836.57,-180,-12342.60
2021-08-16,-12327.80,0.1755,-223.2780,-223.2780,36.40,19661.85,-180,-12364.20
2021-08-17,-12002.90,-2.6355,-220.0290,-220.0290,36.40,19472.61,-180,-12039.30
2021-08-18,-11652.80,-2.9168,-216.5280,-216.5280,36.40,19566.69,-180,-11689.20
2021-08-19,-11819.30,1.4288,-218.1930,-218.1930,36.40,19769.37,-180,-11855.70
2021-08-22,-12185.60,3.0992,-221.8560,-221.8560,36.40,20065.05,-180,-12222.00
2021-08-23,-12730.10,4.4684,-227.3010,-227.3010,36.40,20126.34,-180,-12766.50
2021-08-24,-12856.10,0.9898,-228.5610,-228.5610,36.40,20149.45,-180,-12892.50
